Club,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Curve
Driver,95.17045455,-6.7,1.3,8.267716535,49.824,-4.521,7.648,6.557,5.257,133.9072566,1.407,6.014,5.713,3180.0,10.765,365.8725208,36.52206141,53.81961248,6.14263905,0.64566632,0.662445906,0.095685,185.4910565,32.46280443,23.67395117,57.68437683,4.737433,217.0224544,40.39724782,42.36519776
Driver,97.06961346,-0.057,2.949,0.078740157,46.778,2.895,16.666,-3.922,-6.871,134.6069703,1.3867,14.123,-2.826,3680.0,-9.56,418.9866734,93.66694411,-42.0041288,6.001139835,-0.307261043,1.529637739,0.095516,210.574164,-28.07034823,42.14393702,58.95399843,6.426813,227.2339636,-31.42837257,-53.24078316
Driver,75.43620258,-7.559,1.962,7.204724409,60.404,-2.361,40.374,-0.138,-2.1,92.88475304,1.2313,32.106,0.338,7610.0,-1.706,229.832907,100.9026447,-0.982168557,4.689818305,0.024593021,2.96411513,0.125306,115.955715,-1.089811799,55.2874437,57.04837351,5.632491,117.4043183,-1.111788403,-5.321418307
Driver,96.18378669,0.2,-3.2,-0.039370079,50.406,-3.645,20.502,1.482,4.791,131.2520132,1.3646,17.872,0.89,3520.0,-1.339,408.410225,112.6845574,2.463199531,5.948573995,0.082959411,1.939508083,0.099078,204.6625835,0.397797195,47.06940046,60.83319165,6.738964,217.8838301,0.310973954,-8.343686789
Driver,109.2139406,-1.7,4.7,2.047244094,49.895,3.339,31.961,-4.65,-9.35,136.4895759,1.2498,27.056,-2.926,6917.29,-10.696,379.219756,181.6212264,-51.59132418,5.704963682,-0.319771053,2.9748364,0.098522,172.9634998,-33.77641729,62.65761275,71.90758105,7.543461,171.147954,-33.33591022,-75.21974198
Driver,112.1756442,0.962,-2.069,-1.220472441,47.343,-1.182,12.467,-0.265,1.803,162.8751342,1.452,11.055,-0.492,2313.06,-0.065,540.0304219,91.31384751,-4.727605175,5.944721673,-0.051117319,1.172529761,0.076947063,274.5507291,-2.48844809,35.15067403,65.72660925,6.599046389,302.7798188,-2.757413355,-0.392728734
Driver,103.1764495,-0.5,-2.1,0.866141732,48.909,-2.858,15.013,0.563,2.663,146.2904885,1.4179,13.266,0.244,3600.0,5.936,473.4508885,109.1054853,18.82535207,5.569390114,0.030206696,1.332849501,0.081123,232.4951545,14.11800187,44.69633266,60.74696331,6.963545,247.6633685,15.71479978,39.38879798
Driver,85.2563529,-1.196,4.504,1.456692913,52.488,3.586,49.45,-14.912,-19.416,82.22150143,0.9644,41.201,-10.004,7270.0,-10.362,189.1669701,101.9629236,-38.37759998,3.413612365,-0.607059186,2.995777686,0.1158088,92.3054845,-24.55047118,59.81125977,57.0373315,5.405765892,92.2617865,-24.53789218,-26.15919324
Driver,107.7308518,-6.913,-5.47,8.307086614,51.978,-10.91,9.183,-5.575,-0.105,150.7784538,1.3996,7.18,-5.562,3000.0,-0.241,469.0907696,58.36422254,-45.63066394,6.156240942,-0.596902025,0.794402854,0.0851749,234.4792377,-23.14360544,29.25157243,60.24607523,5.76442,261.5009332,-25.86072125,-1.257680769
Driver,90.0456335,-0.92,0.442,1.181102362,46.627,-0.428,17.278,8.795,8.354,128.27398,1.4245,15.201,7.785,2919.8,9.427,390.4394215,80.82457162,67.75089541,5.934635988,0.813622963,1.619466448,0.099496,203.9332176,41.63184334,37.59409224,59.8446036,5.956817,225.5617581,47.3612002,42.61758139
