Club,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Curve
Driver,99.38931639,2.0,7.2,-2.322834646,43.943,8.935,39.054,-10.191,-17.418,114.648801,1.1535,31.966,-5.753,8970.0,-15.45,297.2937006,146.084196,-59.48255149,4.708732501,-0.498504448,2.980038473,0.101678,140.6888972,-39.47011588,60.66161135,65.64683631,6.674229,138.1900852,-38.63531028,-77.20501687
Driver,90.27156407,-3.984,3.001,5.275590551,50.338,-0.309,20.944,-4.243,-7.244,118.8430565,1.3165,17.01,-3.009,4840.0,-10.286,339.8631939,89.08454583,-36.80139011,5.717866928,-0.315238926,1.774325741,0.104879424,172.6465462,-24.89412281,44.80116412,56.47356201,5.988239371,184.2904164,-27.32541785,-47.67541194
Driver,71.03614889,-5.182,6.308,6.929133858,58.557,3.129,36.474,7.229,0.921,82.33938797,1.1591,31.469,7.088,4089.71,1.109,199.927345,77.04200002,23.68325274,4.840462243,0.598951337,2.948289216,0.144082,106.6475771,13.96586339,49.08848127,53.27406831,4.97661,111.2171188,14.58145501,2.438473718
Driver,67.68745526,-4.949,-0.268,4.763779528,53.511,-3.94,21.732,2.775,3.044,92.36556013,1.3646,18.027,2.316,3420.0,4.96,223.8302907,47.38068898,12.5582636,5.984714725,0.24953733,1.930939892,0.1420744,124.2928553,8.562839333,33.2983793,52.79125362,4.34234009,145.3786436,10.52911236,10.63500715
Driver,108.7240515,3.2,-0.4,-3.700787402,43.479,2.327,16.357,-2.079,-1.535,162.0676002,1.4906,14.658,-1.864,2750.0,5.166,548.0745771,135.264939,-0.771615997,5.850593726,-0.18468689,1.548366371,0.077355,268.2409765,4.283129482,46.6752957,65.28619194,7.639004,283.7827195,5.119963941,39.01463486
Driver,96.10773085,0.265,3.786,-0.354330709,50.55,4.004,22.394,14.005,10.219,134.2385469,1.3967,19.102,12.343,4850.0,12.901,404.7120212,130.4608621,115.816852,5.918419602,1.284188464,2.084715177,0.0973,197.5631054,68.15755848,51.76883834,62.52675289,6.999354,205.5075954,71.4901433,80.82933287
Driver,86.15336435,1.471,5.261,-1.929133858,44.246,6.771,18.258,9.528,4.268,123.1701861,1.4297,16.223,8.981,2570.0,9.037,364.4639363,74.77174718,68.10177866,6.46787822,1.019958894,1.886146531,0.113529,195.0954048,41.8357446,35.54449138,60.63339876,5.64133,217.7448074,47.88564672,34.7267115
Driver,92.53534359,1.765,7.016,-2.244094488,52.267,8.382,13.641,4.373,-2.643,137.649651,1.4875,12.076,4.732,2192.31,-14.644,397.2517599,60.37018201,13.30101074,5.955865292,0.479732903,1.274721361,0.091605,214.0940828,-0.145656425,28.50441759,65.19408847,5.267117,248.1378662,-3.081652964,-53.42062075
Driver,115.6093414,-0.324,-4.752,0.393700787,51.298,-5.012,8.881,1.741,6.493,164.6577487,1.4243,7.754,0.932,2260.0,24.436,479.8487165,53.73201284,48.92447174,6.37621032,0.122590728,0.878506245,0.080799,249.2524101,39.96192121,24.36000414,68.80218332,5.31276,286.5135023,51.91749468,107.8644092
Driver,100.3355404,1.301,7.043,-1.732283465,48.912,8.177,17.105,1.284,-5.759,143.8647548,1.4338,13.479,2.662,5515.14,-15.264,431.8692866,115.1693493,-26.64940157,5.789412306,0.248184583,1.424428792,0.086138,208.7619564,-24.66194488,48.78504054,59.93122874,6.878573,217.477439,-26.66960798,-102.7895076
Driver,99.4206335,-2.631,1.821,3.897637795,44.357,-0.872,18.352,9.327,7.506,141.12585,1.4195,15.703,8.318,3950.0,8.001,449.5065544,119.7751026,84.77314319,5.815812085,0.85059991,1.659659039,0.0889544,220.7026244,49.06997412,47.69190873,61.71096284,7.041683294,233.1300739,52.50710644,52.27360753
Driver,95.73192555,0.695,3.266,-0.866141732,51.36,3.821,17.579,7.742,4.477,137.9686382,1.4412,15.337,7.116,3180.0,5.033,442.9372652,102.64756,64.93877,5.945049161,0.741746374,1.645502387,0.092743,223.6735395,37.21989125,42.56431662,61.08968789,6.664155,241.5851003,40.81802795,28.83345909
Driver,71.86828919,0.765,-4.62,-1.102362205,50.729,-3.995,19.679,3.855,8.476,100.4599141,1.3978,15.771,1.994,4278.03,21.688,240.0282612,47.52066295,27.42137144,136.2982817,23.06101921,-4.169017635,4.63194,130.2280809,21.31049325,32.94153724,53.73229021,4.35194,149.1652891,26.65541975,50.48221398
Driver,85.33688261,7.028,0.525,-8.11023622,60.209,4.573,17.687,-1.19,-1.715,118.9441661,1.3938,16.35,-0.966,1600.0,-5.68,319.5666766,58.16966924,-9.685769976,6.205719109,-0.109411725,1.802228689,0.112644777,181.2624052,-7.474778451,29.06760607,66.69011812,4.750231892,217.4215961,-9.803611573,-13.26119342
