Club,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Curve
Driver,90.69210809,2.765,-6.86,-3.858267717,47.128,-4.29,14.193,4.217,11.077,128.384932,1.4156,11.48,1.489,4842.1,31.374,344.261635,60.37949253,61.74483429,6.226935198,0.205747418,1.286571564,0.102873,176.1388711,48.87697544,34.22870808,55.01790736,5.22757,193.0203302,57.7132299,133.3897316
Driver,88.11292054,-5.584,0.264,7.322834646,53.643,-3.863,22.584,0.001,-0.263,114.5150322,1.2996,18.907,0.038,4180.0,-0.333,330.3534841,90.28739799,-0.369507701,6.13528305,0.003545346,2.122609347,0.1181896,169.5293733,-0.367601344,44.85830525,57.00474734,5.957086396,182.4655829,-0.421062406,-1.440111385
Driver,100.2057981,1.534,7.256,-1.88976378,52.746,8.423,9.073,-3.074,-10.329,145.0820956,1.4479,8.173,-1.809,2220.0,-41.263,321.6293165,29.90445223,-40.09199782,5.531566042,-0.196910508,0.790052419,0.0795136,179.996035,-35.7504676,16.93789679,75.30578819,3.7221,227.4150789,-54.09734511,-90.49134723
Driver,93.14826414,-6.126,-4.807,7.086614173,57.643,-8.706,21.532,-9.31,-4.503,116.4318629,1.25,17.032,-8.518,5270.0,-5.81,327.5210713,86.83124007,-57.40341563,5.851209056,-0.87597952,1.822023556,0.109716,166.1906389,-33.12770647,45.00267362,55.70013948,5.88117442,176.9989237,-35.662836,-25.92037842
Driver,82.99257337,-3.801,5.414,5.039370079,50.538,2.278,16.932,2.781,-2.633,115.4632695,1.3912,13.601,3.225,3850.0,-0.332,324.4517669,62.61841534,17.41376939,5.823179144,0.327133633,1.421642136,0.107899,169.2229151,9.097920844,35.95903434,55.05295762,5.318982,188.5261227,10.09408242,-1.268154299
Driver,103.9795097,3.625,4.226,-4.409448819,50.85,7.182,13.436,2.082,-2.144,151.7103615,1.459,11.964,2.411,2270.0,-10.765,479.8801052,79.87192614,-0.408859983,6.004421566,0.244290175,1.279518734,0.083743,250.1851881,-7.322382303,32.95907792,65.454574,6.102027,280.4451551,-10.36261839,-53.5081491
Driver,90.73460988,-2.581,-2.268,3.188976378,48.808,-4.529,25.496,10.282,12.55,108.2209646,1.1927,21.028,8.036,5283.16,7.003,295.6228932,89.9057681,50.50817832,6.025577899,0.855663731,2.3439997,0.124897,151.7174421,30.32258971,47.0973877,55.90861921,5.774641,161.1012899,32.54650724,27.73012012
Driver,95.40085898,-1.945,1.288,2.401574803,52.614,-0.199,21.406,-9.547,-10.835,106.8828293,1.1204,17.145,-7.407,5000.0,-16.05,281.8612477,67.07073224,-56.54726537,5.489941766,-0.730646713,1.7078344,0.1120712,148.1108413,-37.25726468,40.02970471,53.42904038,5.200828786,161.8038679,-41.997386,-55.3991377
Driver,108.3639048,-0.7,4.1,1.062992126,52.46,3.475,9.045,-0.057,-4.157,159.6575251,1.4734,7.974,0.503,2630.0,-10.44,503.7289717,66.56840053,-19.76727208,5.974931472,0.033719747,0.850045309,0.078209,253.4308476,-17.3247494,30.29505351,62.7480538,6.003583,283.5874413,-21.7873242,-58.63115853
Driver,100.317645,0.7,-3.7,-0.94488189,47.87,-3.11,16.117,-6.879,-3.179,139.3971457,1.3895,14.363,-6.333,3440.0,-4.323,442.9303067,103.5691845,-59.57052978,5.501139112,-0.627118788,1.426147475,0.084516,220.2743004,-33.55296958,44.0610501,59.99650372,6.733673,236.0495821,-36.4415408,-28.00201944
Driver,87.49552613,-5.4,-2.0,4.448818898,56.462,-6.172,22.886,0.658,2.741,119.7928597,1.3691,17.262,0.041,6710.0,4.163,324.775866,97.45008433,9.21810372,5.805965909,0.014714487,1.850671455,0.10628,160.6990103,6.960657891,49.7063282,55.95501014,6.102925,166.5917339,7.364445475,20.53731073
Driver,93.73881532,-3.9,2.5,5.078740157,48.755,-1.182,12.455,3.328,0.828,133.6236131,1.4255,10.619,3.225,3450.0,1.835,402.2188512,70.90103763,26.12073388,5.929416058,0.335879138,1.131220938,0.093755,201.6130868,14.42682375,36.97667632,56.02006752,5.901809,221.2456874,16.10504264,9.272621083
Driver,113.3097709,4.7,2.9,-5.472440945,49.834,6.931,16.41,-4.229,-7.129,164.7783196,1.4542,15.138,-3.248,3300.0,-18.187,552.5824279,144.8869577,-94.24060771,5.586416473,-0.347482752,1.529251342,0.072779,267.7247263,-64.72611701,48.24721195,65.95829084,7.80335,280.9217186,-69.72194474,-149.7101743
Driver,112.5425018,1.8,2.8,-1.535433071,47.792,3.882,15.301,-0.954,-3.774,164.723291,1.4637,13.292,-0.332,3410.0,-7.046,554.3876508,140.2156651,-29.02159925,5.507523501,-0.041615029,1.321691012,0.071184,265.4859306,-20.93136887,48.71576859,65.02155073,7.773917,278.0717703,-22.59620673,-58.19237502
Driver,67.00071582,-6.2,0.8,5.511811024,58.19,-3.636,22.839,8.101,7.349,89.61278633,1.3375,15.477,6.195,6744.65,14.784,196.3217553,37.64952976,31.06225469,5.788151388,0.65117036,1.601430335,0.140225,108.0713063,21.07924071,31.79090043,49.12703568,3.925761,122.6707145,25.01140121,28.55364747
Driver,93.61802076,-0.623,1.492,0.866141732,45.79,0.886,16.389,2.997,1.505,139.4463583,1.4895,14.404,2.813,2760.0,4.922,445.5798192,91.53593357,31.48797022,6.222874584,0.310567909,1.616402254,0.0955429,229.2210167,19.87592085,38.56167026,61.73404098,6.39644,242.2527922,21.44181878,25.93500327
Driver,51.24597351,5.693,3.303,-4.881889764,72.65,5.087,22.954,2.348,-0.955,53.13014495,1.0368,19.167,2.572,2000.0,-2.357,68.28577187,12.47324305,2.857000219,4.745952806,0.210633197,1.507600127,0.196396,42.70121309,1.732512875,22.53848549,43.59828462,1.969322093,67.16146591,2.627305423,-0.551588117
Driver,25.20132427,-1.5,-2.7,1.456692913,64.86,-3.459,31.624,-5.255,-2.555,28.00778454,1.1114,26.204,-4.757,2620.0,-3.134,22.28025376,5.515356152,-1.819737181,2.493517754,-0.207840062,1.036525811,0.205477,14.15693383,-1.210320577,28.3091575,25.85512105,1.220989,22.70334059,-1.959665654,-0.109247818
Driver,110.5583393,7.5,4.7,-8.937007874,50.279,10.976,19.099,2.753,-1.947,164.5846009,1.4887,17.672,2.946,2363.99,-6.111,566.4710298,156.9360701,9.428288475,5.715275695,0.294449237,1.835671801,0.075521,279.8609404,-0.760045064,48.51392054,69.28414469,7.95587,294.5511038,-1.390936447,-45.42710934
Driver,104.7512527,-2.888,-1.977,4.330708661,43.296,-5.046,16.989,2.57,4.547,154.3049839,1.4731,14.684,2.014,3625.5,8.792,484.0966973,134.4954464,57.29630829,211.3800743,35.22251785,14.07101788,6.80532,221.3131213,38.32792206,58.2733697,64.98357784,7.40227,227.2738012,40.20394429,91.93203452
