Club,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Curve
Driver,107.8382248,2.446,2.103,-2.598425197,51.57,4.046,12.68,-0.451,-2.554,161.5926986,1.4985,11.028,-0.029,2733.75,-9.029,540.7911586,97.5690344,-24.63712054,6.015932014,-0.011336851,1.197047591,0.0785351,269.8838639,-19.95127261,37.92053212,63.22522375,6.86238,291.8303919,-23.10573345,-59.44512999
Driver,65.1194524,-2.331,1.014,2.086614173,66.72,0.01,38.546,5.115,4.101,69.5505995,1.0681,31.663,4.232,4770.0,3.9,147.7017365,53.80553944,12.03163545,4.954633672,0.373074718,3.004202607,0.17589,81.94328602,7.786842781,45.65842562,47.90057092,4.118989,90.83079399,8.735074624,5.237866782
Driver,81.57882963,-3.8,-13.6,2.755905512,68.871,-15.512,25.303,-2.209,11.423,104.0803955,1.2758,18.642,-5.109,7401.65,13.01,260.5404691,72.26958552,-4.02293666,5.960040003,-0.503184964,2.046090864,0.126919,134.4125419,3.014417841,44.89801396,51.71509325,5.245962,141.0373412,3.659292263,44.9069086
Driver,45.33822477,-2.5,-10.7,2.204724409,59.732,-12.388,55.603,-0.857,9.843,21.77299571,0.4802,44.889,-3.952,4140.0,5.259,17.56835797,8.084747861,-1.034334202,2.584306459,-0.174944261,1.993382163,0.349987,10.25881889,-0.663842924,47.12909143,20.832986,1.441,11.89606204,-0.766504895,0.129897137
Driver,102.002058,2.612,2.203,-3.267716535,46.829,4.656,15.102,2.883,0.679,150.6574356,1.477,13.525,2.794,2363.04,3.026,492.7398401,94.83560201,29.99283586,6.192161019,0.304571618,1.506368714,0.0875552,254.124933,17.91691518,37.0377225,64.686553,6.53711,269.3526988,19.29837923,16.6172353
Driver,109.0103794,4.9,0.5,-6.102362205,49.511,4.794,17.444,-0.301,-0.801,160.0825429,1.4685,16.091,-0.088,2960.0,-4.477,539.1044817,148.3957008,-16.90326805,5.822104284,-0.025906139,1.699733171,0.078523,261.2254897,-12.59849752,49.61972276,66.35909688,7.842373,273.9576962,-13.61194723,-36.59320844
Driver,87.36578382,-6.328,5.388,6.653543307,61.87,1.989,8.27,3.554,-1.835,127.8514227,1.4634,6.527,3.775,2230.0,-4.643,282.462513,21.71271973,15.5117339,5.389148401,0.352040824,0.614675997,0.0876032,157.1887536,7.392501483,14.54834152,70.69552039,3.52123,203.8934109,8.639811061,-8.883485821
Driver,93.7746063,2.7,-3.5,-2.677165354,57.939,-1.931,17.032,1.578,5.183,124.1700966,1.3241,15.318,0.929,2248.99,12.066,355.2016811,66.61949254,20.22680373,5.580196817,0.100282523,1.525430891,0.096538,192.8270228,16.88084947,32.64634499,61.75709778,5.331051,220.7865706,21.23662701,41.29275745
Driver,99.3960272,0.517,3.283,-0.669291339,45.009,3.8,13.589,5.74,2.457,145.5739979,1.4646,11.863,5.406,2540.0,0.906,460.2492325,78.12825566,44.48276406,5.955983751,0.561847649,1.260083852,0.086586,237.9374841,23.92804319,34.01298105,62.84053699,6.104867,265.4806689,26.86836305,4.555658223
Driver,104.7199356,2.5,7.9,-2.795275591,55.701,9.664,6.748,4.713,-3.187,152.9187545,1.4603,6.193,5.27,1060.0,-18.084,329.4215115,23.7435183,19.29881428,5.704393931,0.514608277,0.616548129,0.077477,184.910662,6.428061475,13.39875456,84.85429869,3.447464,247.4303335,4.891625308,-31.71823233
